value,score,parameter
4.039273382386147,-225.66525646779553,size
4.151746317290846,-225.79757688161303,size
4.151746317290846,-225.79757688161303,size
4.151746317290846,-225.79757688161303,size
4.151746317290846,-225.79757688161303,size
4.309839805424557,-226.13761782377077,size
4.309839805424557,-226.13761782377077,size
4.309839805424557,-226.13761782377077,size
4.309839805424557,-226.13761782377077,size
4.309839805424557,-226.13761782377077,size
4.309839805424557,-226.13761782377077,size
4.309839805424557,-226.13761782377077,size
4.309839805424557,-226.13761782377077,size
4.309839805424557,-226.13761782377077,size
4.309839805424557,-226.13761782377077,size
4.309839805424557,-226.13761782377077,size
4.309839805424557,-226.13761782377077,size
4.309839805424557,-226.13761782377077,size
4.309839805424557,-226.13761782377077,size
4.309839805424557,-226.13761782377077,size
4.309839805424557,-226.13761782377077,size
3.2513544046053253,-227.47980393653927,size
3.2513544046053253,-227.47980393653927,size
3.2513544046053253,-227.47980393653927,size
3.2513544046053253,-227.47980393653927,size
3.7664184132074836,-225.73713611064113,size
3.7664184132074836,-225.73713611064113,size
3.7664184132074836,-225.73713611064113,size
3.7664184132074836,-225.73713611064113,size
4.0084678015922535,-225.64524205950053,size
4.0084678015922535,-225.64524205950053,size
4.0084678015922535,-225.64524205950053,size
4.0084678015922535,-225.64524205950053,size
4.0084678015922535,-225.64524205950053,size
4.0084678015922535,-225.64524205950053,size
4.0084678015922535,-225.64524205950053,size
4.0084678015922535,-225.64524205950053,size
4.0084678015922535,-225.64524205950053,size
4.0084678015922535,-225.64524205950053,size
4.0084678015922535,-225.64524205950053,size
3.3907827097279006,-226.79235083450828,size
3.3907827097279006,-226.79235083450828,size
3.3907827097279006,-226.79235083450828,size
3.3907827097279006,-226.79235083450828,size
4.575765881284075,-227.10066123981912,size
4.575765881284075,-227.10066123981912,size
4.575765881284075,-227.10066123981912,size
4.575765881284075,-227.10066123981912,size
4.282504762227889,-226.06616718672615,size
4.282504762227889,-226.06616718672615,size
4.282504762227889,-226.06616718672615,size
4.282504762227889,-226.06616718672615,size
4.282504762227889,-226.06616718672615,size
4.282504762227889,-226.06616718672615,size
4.444931141469172,-226.56682970428503,size
4.444931141469172,-226.56682970428503,size
4.444931141469172,-226.56682970428503,size
4.444931141469172,-226.56682970428503,size
4.444931141469172,-226.56682970428503,size
4.444931141469172,-226.56682970428503,size
3.4470396011772864,-226.56116760380692,size
3.4470396011772864,-226.56116760380692,size
3.4470396011772864,-226.56116760380692,size
4.386958589127113,-226.36724991084185,size
4.386958589127113,-226.36724991084185,size
3.3175285293545778,-227.13304114868848,size
3.3175285293545778,-227.13304114868848,size
3.3175285293545778,-227.13304114868848,size
3.3175285293545778,-227.13304114868848,size
3.3175285293545778,-227.13304114868848,size
4.624928134842859,-227.33061610705417,size
3.2616174973237917,-227.42358056817608,size
3.2616174973237917,-227.42358056817608,size
3.2616174973237917,-227.42358056817608,size
3.2616174973237917,-227.42358056817608,size
3.2616174973237917,-227.42358056817608,size
3.2616174973237917,-227.42358056817608,size
3.2616174973237917,-227.42358056817608,size
3.2616174973237917,-227.42358056817608,size
3.912814031831921,-225.62828836179483,size
3.912814031831921,-225.62828836179483,size
3.912814031831921,-225.62828836179483,size
3.7806030805328223,-225.71934939510032,size
4.160443415610623,-225.81164318430874,size
4.160443415610623,-225.81164318430874,size
4.160443415610623,-225.81164318430874,size
4.160443415610623,-225.81164318430874,size
4.160443415610623,-225.81164318430874,size
4.160443415610623,-225.81164318430874,size
4.160443415610623,-225.81164318430874,size
4.160443415610623,-225.81164318430874,size
4.160443415610623,-225.81164318430874,size
4.160443415610623,-225.81164318430874,size
4.160443415610623,-225.81164318430874,size
4.160443415610623,-225.81164318430874,size
4.446354207171074,-226.57201693698096,size
4.446354207171074,-226.57201693698096,size
4.446354207171074,-226.57201693698096,size
4.490944379475289,-226.74149386253296,size
4.490944379475289,-226.74149386253296,size
4.490944379475289,-226.74149386253296,size
4.490944379475289,-226.74149386253296,size
4.490944379475289,-226.74149386253296,size
4.364142973657098,-226.29502361317367,size
3.4541841827037962,-226.53368612695834,size
3.4541841827037962,-226.53368612695834,size
3.4541841827037962,-226.53368612695834,size
3.4541841827037962,-226.53368612695834,size
3.7128665650677317,-225.818470980809,size
3.7128665650677317,-225.818470980809,size
3.7128665650677317,-225.818470980809,size
3.7128665650677317,-225.818470980809,size
3.7128665650677317,-225.818470980809,size
3.7128665650677317,-225.818470980809,size
3.7128665650677317,-225.818470980809,size
3.7128665650677317,-225.818470980809,size
3.7128665650677317,-225.818470980809,size
3.7128665650677317,-225.818470980809,size
3.7128665650677317,-225.818470980809,size
3.7128665650677317,-225.818470980809,size
4.0449618828093605,-225.66972104686647,size
4.0449618828093605,-225.66972104686647,size
4.0449618828093605,-225.66972104686647,size
4.0449618828093605,-225.66972104686647,size
4.0449618828093605,-225.66972104686647,size
4.0449618828093605,-225.66972104686647,size
4.0449618828093605,-225.66972104686647,size
3.0787661132180744,-228.56141613468526,size
3.0787661132180744,-228.56141613468526,size
3.0787661132180744,-228.56141613468526,size
3.0787661132180744,-228.56141613468526,size
3.0787661132180744,-228.56141613468526,size
3.0787661132180744,-228.56141613468526,size
3.0787661132180744,-228.56141613468526,size
3.0787661132180744,-228.56141613468526,size
3.0787661132180744,-228.56141613468526,size
3.0787661132180744,-228.56141613468526,size
5.016226036010399,-229.70891508525852,size
3.8694806979587404,-225.64336421251235,size
3.8694806979587404,-225.64336421251235,size
3.8694806979587404,-225.64336421251235,size
3.8694806979587404,-225.64336421251235,size
3.8694806979587404,-225.64336421251235,size
3.8694806979587404,-225.64336421251235,size
3.8694806979587404,-225.64336421251235,size
3.8694806979587404,-225.64336421251235,size
3.8694806979587404,-225.64336421251235,size
3.8694806979587404,-225.64336421251235,size
3.8694806979587404,-225.64336421251235,size
3.8694806979587404,-225.64336421251235,size
3.8694806979587404,-225.64336421251235,size
3.8694806979587404,-225.64336421251235,size
3.8694806979587404,-225.64336421251235,size
3.8694806979587404,-225.64336421251235,size
3.8694806979587404,-225.64336421251235,size
3.7047241868833045,-225.83281136877468,size
3.7047241868833045,-225.83281136877468,size
3.7047241868833045,-225.83281136877468,size
3.7047241868833045,-225.83281136877468,size
3.8659972230351665,-225.64519810845755,size
3.8659972230351665,-225.64519810845755,size
3.8659972230351665,-225.64519810845755,size
3.8659972230351665,-225.64519810845755,size
3.8659972230351665,-225.64519810845755,size
3.8659972230351665,-225.64519810845755,size
3.8659972230351665,-225.64519810845755,size
3.8659972230351665,-225.64519810845755,size
3.8659972230351665,-225.64519810845755,size
3.8659972230351665,-225.64519810845755,size
3.8659972230351665,-225.64519810845755,size
3.8659972230351665,-225.64519810845755,size
3.8659972230351665,-225.64519810845755,size
3.8659972230351665,-225.64519810845755,size
3.8659972230351665,-225.64519810845755,size
