subject,session,utt_id,noun,adj,prenominal,adj_stem,noun_stem,x1,x2,x3,x4,x5,mean_typ,article,noun_conc,noun_freq,age
43,11,143631,slice,orange,TRUE,orang,slice,3,3,5,3,NA,3.5,a,3.85,32,54
43,11,143633,slice,orange,TRUE,orang,slice,3,3,5,3,NA,3.5,a,3.85,32,54
43,11,143781,battery,dead,FALSE,dead,batteri,5,3,3,4,NA,3.75,a,4.67,374,54
43,12,144069,engine,hot,TRUE,hot,engin,4,5,6,4,NA,4.75,an,4.86,146,58
43,12,144306,mud,wet,FALSE,wet,mud,3,7,6,5,6,5.4,NA,4.86,132,58
43,12,144621,cloud,puffy,TRUE,puffi,cloud,4,5,3,5,NA,4.25,a,4.54,139,58
43,12,144624,cloud,puffy,TRUE,puffi,cloud,4,5,3,5,NA,4.25,a,4.54,139,58
44,1,144777,toe,fat,TRUE,fat,toe,3,3,2,4,NA,3,a,4.93,507,14
44,2,145740,leg,fat,TRUE,fat,leg,5,3,5,4,NA,4.25,a,4.83,774,18
44,3,146104,nose,dirty,FALSE,dirti,nose,4,3,5,2,NA,3.5,a,4.89,1290,22
44,3,146122,button,red,TRUE,red,button,3,1,5,3,NA,3,a,4.96,624,22
44,5,147356,cup,yellow,TRUE,yellow,cup,3,3,3,3,NA,3,a,5,1022,30
44,9,148126,peach,sweet,FALSE,sweet,peach,5,5,5,5,NA,5,a,4.9,396,46
44,9,148126,pie,sweet,FALSE,sweet,pie,6,3,4,NA,NA,4.333333333333333,a,4.92,93,46
45,2,149164,ball,yellow,TRUE,yellow,ball,3,3,3,NA,NA,3,a,5,2407,18
45,2,149171,girl,sweet,TRUE,sweet,girl,4,3,3,3,NA,3.25,a,4.85,2087,18
45,3,149872,brother,twin,TRUE,twin,brother,2,3,2,3,NA,2.5,a,4.43,491,22
45,4,150437,crayon,brown,TRUE,brown,crayon,3,2,4,4,NA,3.25,a,4.87,702,26
45,4,150455,crayon,green,TRUE,green,crayon,5,4,3,4,NA,4,a,4.87,702,26
45,4,150465,apple,red,FALSE,red,appl,7,5,6,3,NA,5.25,an,5,800,26
45,4,150468,crayon,red,TRUE,red,crayon,3,3,3,5,NA,3.5,a,4.87,702,26
45,4,150486,cookie,red,TRUE,red,cooki,2,2,1,NA,NA,1.6666666666666667,a,5,1280,26
45,4,150487,crayon,red,TRUE,red,crayon,3,3,3,5,NA,3.5,a,4.87,702,26
45,4,150672,syrup,hot,TRUE,hot,syrup,1,1,4,2,NA,2,a,4.76,46,26
45,4,150936,piece,crispy,TRUE,crispi,piec,3,3,2,1,NA,2.25,a,4.14,2330,26
45,4,150950,piece,crispy,TRUE,crispi,piec,3,3,2,1,NA,2.25,a,4.14,2330,26
45,4,151132,crib,yellow,FALSE,yellow,crib,3,3,2,NA,NA,2.6666666666666665,a,4.86,38,26
45,5,152159,slipper,slippery,FALSE,slipperi,slipper,2,3,NA,NA,NA,2.5,a,4.86,137,30
45,5,152465,boy,bald,FALSE,bald,boi,3,3,3,3,NA,3,a,4.76,1941,30
45,6,152626,puzzle,giant,TRUE,giant,puzzl,3,2,2,3,NA,2.5,a,4.75,1058,34
45,6,152748,shoe,sandy,TRUE,sandi,shoe,3,2,3,4,NA,3,a,4.97,1572,34
45,6,152846,picture,bright,TRUE,bright,pictur,3,3,5,3,NA,3.5,a,4.52,2025,34
45,6,152850,color,pink,FALSE,pink,color,2,3,2,3,NA,2.5,a,4.08,4028,34
45,7,153185,money,dirty,FALSE,dirti,monei,5,4,3,6,NA,4.5,NA,4.54,297,38
45,11,156366,hair,wet,TRUE,wet,hair,3,5,3,3,NA,3.5,a,4.97,1225,54
45,11,156418,hair,wet,FALSE,wet,hair,3,5,3,3,NA,3.5,a,4.97,1225,54
45,11,156429,shoe,pink,TRUE,pink,shoe,2,2,3,3,NA,2.5,a,4.97,1572,54
47,1,158445,phone,upstairs,FALSE,upstair,phone,3,2,4,3,NA,3,a,4.86,601,14
47,2,158722,laundry,dirty,TRUE,dirti,laundri,4,5,5,5,NA,4.75,NA,4.93,189,18
47,2,158936,tail,fuzzy,TRUE,fuzzi,tail,4,4,5,5,NA,4.5,a,4.96,375,18
47,2,159064,guy,fat,TRUE,fat,gui,3,3,3,3,NA,3,a,4.68,2618,18
47,2,159064,suit,fat,FALSE,fat,suit,2,3,5,2,NA,3,a,4.97,102,18
47,3,159129,ball,orange,TRUE,orang,ball,3,2,3,4,NA,3,a,5,2407,22
47,3,159219,blanket,dirty,FALSE,dirti,blanket,5,4,1,NA,NA,3.3333333333333335,a,5,316,22
47,3,159709,cookie,round,TRUE,round,cooki,6,6,7,4,NA,5.75,a,5,1280,22
47,3,159863,cup,flat,FALSE,flat,cup,2,2,1,1,NA,1.5,a,5,1022,22
47,4,160079,lipstick,pink,TRUE,pink,lipstick,6,2,5,3,NA,4,NA,4.9,23,26
47,4,160168,lid,plastic,TRUE,plastic,lid,4,5,5,4,NA,4.5,a,4.96,194,26
47,4,160459,pepperoni,purple,TRUE,purpl,pepperoni,1,1,1,2,NA,1.25,NA,5,21,26
47,4,160461,ketchup,purple,TRUE,purpl,ketchup,2,1,1,2,NA,1.5,NA,5,92,26
47,4,160832,baby,dirty,FALSE,dirti,babi,3,5,3,2,NA,3.25,a,5,4923,26
47,5,161068,water,hot,TRUE,hot,water,6,5,5,4,NA,5,NA,5,2636,30
47,5,161109,hair,thick,TRUE,thick,hair,3,4,3,NA,NA,3.3333333333333335,NA,4.97,1225,30
47,5,161531,shirt,purple,TRUE,purpl,shirt,5,3,1,NA,NA,3,a,4.94,699,30
47,5,161681,shoe,pink,TRUE,pink,shoe,2,2,3,3,NA,2.5,a,4.97,1572,30
47,5,161772,glass,pink,TRUE,pink,glass,2,2,2,2,NA,2,NA,4.82,345,30
47,6,162198,teddy,furry,TRUE,furri,teddi,5,5,3,6,NA,4.75,a,4.78,106,34
47,6,162199,coach,furry,TRUE,furri,coach,2,1,3,1,NA,1.75,a,4.12,26,34
47,6,162251,bear,brown,TRUE,brown,bear,6,5,3,6,NA,5,a,4.88,1182,34
47,6,162252,bear,brown,TRUE,brown,bear,6,5,3,6,NA,5,a,4.88,1182,34
47,6,162613,olive,thick,FALSE,thick,oliv,4,3,5,4,NA,4,an,4.9,56,34
47,6,162613,oil,thick,FALSE,thick,oil,5,7,3,4,NA,4.75,NA,4.93,67,34
47,7,163051,dress,yellow,TRUE,yellow,dress,2,5,3,3,NA,3.25,a,4.93,452,38
47,7,163054,dress,yellow,TRUE,yellow,dress,2,5,3,3,NA,3.25,a,4.93,452,38
47,7,163057,star,yellow,TRUE,yellow,star,5,3,3,6,NA,4.25,a,4.69,662,38
47,7,163061,outfit,yellow,TRUE,yellow,outfit,3,5,3,2,NA,3.25,an,4.12,104,38
47,7,163153,shoe,gold,TRUE,gold,shoe,3,3,2,3,NA,2.75,a,4.97,1572,38
47,7,163252,juice,giant,TRUE,giant,juic,2,1,1,1,NA,1.25,NA,4.89,1218,38
47,7,163255,juice,giant,TRUE,giant,juic,2,1,1,1,NA,1.25,NA,4.89,1218,38
47,7,163260,juice,giant,TRUE,giant,juic,2,1,1,1,NA,1.25,NA,4.89,1218,38
47,7,163271,juice,giant,TRUE,giant,juic,2,1,1,1,NA,1.25,NA,4.89,1218,38
47,7,163291,juice,giant,TRUE,giant,juic,2,1,1,1,NA,1.25,NA,4.89,1218,38
47,7,163308,juice,giant,TRUE,giant,juic,2,1,1,1,NA,1.25,NA,4.89,1218,38
47,7,163313,juice,giant,TRUE,giant,juic,2,1,1,1,NA,1.25,NA,4.89,1218,38
47,7,163315,juice,giant,TRUE,giant,juic,2,1,1,1,NA,1.25,NA,4.89,1218,38
47,7,163321,juice,giant,TRUE,giant,juic,2,1,1,1,NA,1.25,NA,4.89,1218,38
47,7,163322,juice,giant,TRUE,giant,juic,2,1,1,1,NA,1.25,NA,4.89,1218,38
47,7,163370,knife,green,TRUE,green,knife,5,2,NA,NA,NA,3.5,a,4.9,109,38
47,7,163751,suit,pink,FALSE,pink,suit,2,2,2,2,NA,2,a,4.97,102,38
47,8,164113,bed,green,TRUE,green,bed,2,3,1,2,2,2,a,5,788,42
47,8,164196,bed,yellow,TRUE,yellow,bed,3,3,3,2,NA,2.75,a,5,788,42
47,8,164258,star,purple,TRUE,purpl,star,2,3,3,2,NA,2.5,a,4.69,662,42
47,8,164270,picture,red,FALSE,red,pictur,2,3,3,2,NA,2.5,a,4.52,2025,42
47,8,165018,throat,red,FALSE,red,throat,5,2,3,NA,NA,3.3333333333333335,a,4.97,25,42
47,8,165053,sweater,pink,TRUE,pink,sweater,5,3,3,5,3,3.8,a,4.78,93,42
47,9,165132,laundry,green,FALSE,green,laundri,1,1,2,3,NA,1.75,NA,4.93,189,46
47,9,165215,water,dirty,FALSE,dirti,water,5,3,5,2,NA,3.75,NA,5,2636,46
47,9,165219,hose,dirty,FALSE,dirti,hose,4,4,3,5,NA,4,a,4.87,117,46
47,9,165259,water,dirty,FALSE,dirti,water,5,3,5,2,NA,3.75,NA,5,2636,46
47,9,165394,color,brown,FALSE,brown,color,3,3,3,3,NA,3,a,4.08,4028,46
47,9,165416,color,brown,FALSE,brown,color,3,3,3,3,NA,3,a,4.08,4028,46
47,9,165489,color,brown,FALSE,brown,color,3,3,3,3,NA,3,a,4.08,4028,46
47,10,165662,card,red,TRUE,red,card,3,3,5,2,NA,3.25,a,4.9,852,50
47,10,165730,card,yellow,TRUE,yellow,card,3,2,2,2,NA,2.25,a,4.9,852,50
47,10,165731,card,yellow,TRUE,yellow,card,3,2,2,2,NA,2.25,a,4.9,852,50
47,10,165960,nose,flat,FALSE,flat,nose,3,3,5,2,NA,3.25,a,4.89,1290,50
47,11,166925,boy,red,TRUE,red,boi,1,1,1,1,NA,1,a,4.76,1941,54
47,12,167133,color,bright,TRUE,bright,color,4,4,3,3,NA,3.5,a,4.08,4028,58
47,12,167198,body,fat,TRUE,fat,bodi,4,5,3,4,NA,4,a,4.79,200,58
