adj,noun,type,n,x1,x2,x3,x4,x5,mean_typ,noun_conc
red,van,fic,16,2,3,2,3,NA,2.5,4.72
round,ball,fic,21,7,7,6,4,NA,6,5
round,ball,mag,16,7,7,6,4,NA,6,5
round,ball,news,10,7,7,6,4,NA,6,5
round,circle,fic,17,7,7,7,7,NA,7,4.44
silky,body,fic,11,2,2,3,2,NA,2.25,4.79
silky,body,mag,21,2,2,3,2,NA,2.25,4.79
soapy,water,fic,145,5,5,5,5,NA,5,5
soapy,water,mag,132,5,5,5,5,NA,5,5
soapy,water,news,29,5,5,5,5,NA,5,5
solid,tomato,mag,10,3,5,4,5,NA,4.25,5
square,block,acad,12,7,5,5,5,NA,5.5,4.48
square,block,fic,13,7,5,5,5,NA,5.5,4.48
square,block,mag,11,7,5,5,5,NA,5.5,4.48
square,block,news,38,7,5,5,5,NA,5.5,4.48
square,block,spok,13,7,5,5,5,NA,5.5,4.48
sunny,sun,fic,20,7,7,7,7,NA,7,4.83
sunny,sun,mag,39,7,7,7,7,NA,7,4.83
sunny,sun,news,16,7,7,7,7,NA,7,4.83
sunny,sun,spok,15,7,7,7,7,NA,7,4.83
wet,curtain,fic,12,5,4,2,3,NA,3.5,4.82
wet,diaper,fic,19,5,3,3,5,NA,4,4.82
wet,diaper,mag,24,5,3,3,5,NA,4,4.82
wet,kiss,fic,50,NA,NA,NA,NA,NA,NA,NA
wet,kiss,mag,14,NA,NA,NA,NA,NA,NA,NA
wet,lady,fic,11,3,3,3,2,NA,2.75,4.33
wet,rain,acad,13,7,7,7,NA,NA,7,4.97
wet,rain,fic,146,7,7,7,NA,NA,7,4.97
wet,rain,mag,70,7,7,7,NA,NA,7,4.97
wet,rain,news,20,7,7,7,NA,NA,7,4.97
wet,rain,spok,15,7,7,7,NA,NA,7,4.97
wet,tea,fic,24,5,7,2,6,NA,5,4.69
wet,window,fic,103,3,4,2,3,NA,3,4.86
wet,window,mag,18,3,4,2,3,NA,3,4.86
yellow,bird,acad,12,3,3,3,3,NA,3,5
yellow,bird,fic,79,3,3,3,3,NA,3,5
yellow,bird,mag,38,3,3,3,3,NA,3,5
yellow,bird,news,16,3,3,3,3,NA,3,5
yellow,blanket,fic,27,3,3,3,NA,NA,3,5
yellow,blanket,spok,14,3,3,3,NA,NA,3,5
yellow,boot,fic,57,NA,NA,NA,NA,NA,NA,NA
yellow,boot,mag,11,NA,NA,NA,NA,NA,NA,NA
yellow,cat,fic,56,1,3,5,3,NA,3,4.86
yellow,cat,mag,10,1,3,5,3,NA,3,4.86
yellow,frog,news,10,2,3,1,4,NA,2.5,5
yellow,guy,fic,35,1,3,3,1,NA,2,4.68
yellow,guy,news,12,1,3,3,1,NA,2,4.68
yellow,guy,spok,17,1,3,3,1,NA,2,4.68
yellow,honey,mag,25,3,6,4,4,NA,4.25,4.88
yellow,horse,acad,14,1,1,2,NA,NA,1.3333333333333333,5
yellow,horse,fic,43,1,1,2,NA,NA,1.3333333333333333,5
yellow,lemon,mag,166,6,6,6,5,NA,5.75,5
yellow,lemon,news,39,6,6,6,5,NA,5.75,5
yellow,lid,fic,12,2,3,2,3,NA,2.5,4.96
yellow,lid,mag,10,2,3,2,3,NA,2.5,4.96
yellow,page,acad,50,3,3,3,3,NA,3,4.9
yellow,page,fic,151,3,3,3,3,NA,3,4.9
yellow,page,mag,286,3,3,3,3,NA,3,4.9
yellow,page,news,170,3,3,3,3,NA,3,4.9
yellow,page,spok,60,3,3,3,3,NA,3,4.9
yellow,pie,mag,16,NA,NA,NA,NA,NA,NA,NA
sweet,sugar,acad,17,NA,NA,NA,NA,NA,NA,NA
sweet,sugar,fic,66,NA,NA,NA,NA,NA,NA,NA
sweet,sugar,mag,382,NA,NA,NA,NA,NA,NA,NA
sweet,sugar,news,139,NA,NA,NA,NA,NA,NA,NA
sweet,sugar,spok,29,NA,NA,NA,NA,NA,NA,NA
yellow,book,acad,28,3,3,3,3,NA,3,4.9
yellow,book,fic,69,3,3,3,3,NA,3,4.9
yellow,book,mag,40,3,3,3,3,NA,3,4.9
yellow,book,news,40,3,3,3,3,NA,3,4.9
yellow,book,spok,15,3,3,3,3,NA,3,4.9
bright,feather,fic,30,3,4,3,3,NA,3.25,4.9
bright,feather,mag,15,3,4,3,3,NA,3.25,4.9
green,egg,fic,40,1,1,1,2,NA,1.25,4.97
green,egg,mag,144,1,1,1,2,NA,1.25,4.97
green,egg,news,70,1,1,1,2,NA,1.25,4.97
green,egg,spok,16,1,1,1,2,NA,1.25,4.97
green,ham,fic,36,2,2,1,2,NA,1.75,4.9
green,ham,mag,45,2,2,1,2,NA,1.75,4.9
green,ham,news,27,2,2,1,2,NA,1.75,4.9
green,ham,spok,10,2,2,1,2,NA,1.75,4.9
hot,air,acad,157,3,4,4,4,NA,3.75,4.11
hot,air,fic,775,3,4,4,4,NA,3.75,4.11
hot,air,mag,412,3,4,4,4,NA,3.75,4.11
hot,air,news,234,3,4,4,4,NA,3.75,4.11
hot,air,spok,193,3,4,4,4,NA,3.75,4.11
green,tree,acad,55,5,5,6,NA,NA,5.333333333333333,5
green,tree,fic,203,5,5,6,NA,NA,5.333333333333333,5
green,tree,mag,131,5,5,6,NA,NA,5.333333333333333,5
green,tree,news,76,5,5,6,NA,NA,5.333333333333333,5
green,tree,spok,20,5,5,6,NA,NA,5.333333333333333,5
orange,orange,mag,61,7,3,6,6,NA,5.5,4.66
pink,ear,fic,51,3,3,4,2,NA,3,5
pink,ear,mag,13,3,3,4,2,NA,3,5
fat,boy,fic,29,4,3,4,3,NA,3.5,4.76
green,apple,acad,19,3,3,6,3,NA,3.75,5
green,apple,fic,49,3,3,6,3,NA,3.75,5
green,apple,mag,129,3,3,6,3,NA,3.75,5
green,apple,news,99,3,3,6,3,NA,3.75,5
green,apple,spok,16,3,3,6,3,NA,3.75,5
hot,rod,acad,13,5,3,2,4,NA,3.5,4.43
hot,rod,fic,38,5,3,2,4,NA,3.5,4.43
hot,rod,mag,143,5,3,2,4,NA,3.5,4.43
hot,rod,news,137,5,3,2,4,NA,3.5,4.43
hot,rod,spok,24,5,3,2,4,NA,3.5,4.43
red,triangle,acad,12,4,6,2,3,NA,3.75,4.52
red,triangle,fic,23,4,6,2,3,NA,3.75,4.52
red,triangle,mag,12,4,6,2,3,NA,3.75,4.52
bright,site,acad,13,3,4,2,4,NA,3.25,4.56
bright,site,mag,24,3,4,2,4,NA,3.25,4.56
bright,site,news,14,3,4,2,4,NA,3.25,4.56
green,block,fic,17,2,2,3,3,NA,2.5,4.48
green,block,mag,14,2,2,3,3,NA,2.5,4.48
green,block,news,31,2,2,3,3,NA,2.5,4.48
muddy,foot,fic,78,2,3,2,1,NA,2,4.9
muddy,foot,mag,27,2,3,2,1,NA,2,4.9
red,fish,acad,NA,3,3,3,7,NA,4,5
red,fish,mag,NA,3,3,3,7,NA,4,5
red,fish,news,NA,3,3,3,7,NA,4,5
brown,tree,acad,15,5,5,5,4,NA,4.75,5
brown,tree,fic,107,5,5,5,4,NA,4.75,5
brown,tree,mag,57,5,5,5,4,NA,4.75,5
brown,tree,spok,19,5,5,5,4,NA,4.75,5
fat,food,fic,15,1,3,3,4,NA,2.75,4.8
fat,food,mag,25,1,3,3,4,NA,2.75,4.8
fat,food,news,13,1,3,3,4,NA,2.75,4.8
fat,food,spok,11,1,3,3,4,NA,2.75,4.8
hairy,spider,fic,12,5,4,6,NA,NA,5,4.97
red,book,acad,64,3,3,3,3,NA,3,4.9
red,book,fic,115,3,3,3,3,NA,3,4.9
red,book,mag,124,3,3,3,3,NA,3,4.9
red,book,news,75,3,3,3,3,NA,3,4.9
red,book,spok,35,3,3,3,3,NA,3,4.9
red,tree,acad,55,2,2,2,NA,NA,2,5
red,tree,fic,152,2,2,2,NA,NA,2,5
red,tree,mag,132,2,2,2,NA,NA,2,5
red,tree,news,56,2,2,2,NA,NA,2,5
red,tree,spok,15,2,2,2,NA,NA,2,5
bright,sun,acad,68,4,5,6,6,NA,5.25,4.83
bright,sun,fic,613,4,5,6,6,NA,5.25,4.83
bright,sun,mag,263,4,5,6,6,NA,5.25,4.83
bright,sun,news,90,4,5,6,6,NA,5.25,4.83
bright,sun,spok,32,4,5,6,6,NA,5.25,4.83
pink,flower,acad,16,3,5,3,3,NA,3.5,5
pink,flower,fic,115,3,5,3,3,NA,3.5,5
pink,flower,mag,179,3,5,3,3,NA,3.5,5
pink,flower,news,55,3,5,3,3,NA,3.5,5
purple,flower,acad,25,3,4,2,2,NA,2.75,5
purple,flower,fic,108,3,4,2,2,NA,2.75,5
purple,flower,mag,158,3,4,2,2,NA,2.75,5
purple,flower,news,48,3,4,2,2,NA,2.75,5
wet,sand,acad,17,1,5,4,5,NA,3.75,5
wet,sand,fic,151,1,5,4,5,NA,3.75,5
wet,sand,mag,60,1,5,4,5,NA,3.75,5
wet,sand,news,12,1,5,4,5,NA,3.75,5
yellow,car,fic,143,2,2,3,2,NA,2.25,4.89
yellow,car,mag,27,2,2,3,2,NA,2.25,4.89
yellow,car,news,65,2,2,3,2,NA,2.25,4.89
yellow,car,spok,20,2,2,3,2,NA,2.25,4.89
dirty,laundry,acad,15,4,5,5,5,NA,4.75,4.93
dirty,laundry,fic,120,4,5,5,5,NA,4.75,4.93
dirty,laundry,mag,63,4,5,5,5,NA,4.75,4.93
dirty,laundry,news,70,4,5,5,5,NA,4.75,4.93
dirty,laundry,spok,82,4,5,5,5,NA,4.75,4.93
dirty,nose,fic,27,4,3,5,2,NA,3.5,4.89
dirty,shirt,fic,72,6,4,4,4,NA,4.5,4.94
dirty,shirt,mag,12,6,4,4,4,NA,4.5,4.94
dirty,truck,fic,23,4,3,5,3,4,3.8,4.84
fat,baby,fic,25,5,3,3,3,NA,3.5,5
fat,leg,fic,27,5,3,5,4,NA,4.25,4.83
fuzzy,slipper,fic,21,4,3,6,3,NA,4,4.86
fuzzy,slipper,mag,11,4,3,6,3,NA,4,4.86
green,noodle,news,13,2,2,2,2,NA,2,4.71
hot,bite,fic,26,4,3,1,3,NA,2.75,4.44
hot,bite,mag,41,4,3,1,3,NA,2.75,4.44
hot,bite,news,15,4,3,1,3,NA,2.75,4.44
hot,pear,mag,15,2,2,2,1,NA,1.75,4.93
hot,pear,news,13,2,2,2,1,NA,1.75,4.93
hot,pig,fic,10,3,3,4,3,NA,3.25,5
hot,pig,mag,11,3,3,4,3,NA,3.25,5
hot,pig,news,14,3,3,4,3,NA,3.25,5
pink,bird,fic,38,2,2,2,3,NA,2.25,5
pink,bird,mag,12,2,2,2,3,NA,2.25,5
purple,shoe,fic,22,3,3,3,3,NA,3,4.97
purple,shoe,mag,15,3,3,3,3,NA,3,4.97
red,box,fic,106,3,3,2,3,NA,2.75,4.9
red,box,mag,86,3,3,2,3,NA,2.75,4.9
red,box,news,52,3,3,2,3,NA,2.75,4.9
red,button,acad,12,3,1,5,3,NA,3,4.96
red,button,fic,50,3,1,5,3,NA,3,4.96
red,button,mag,25,3,1,5,3,NA,3,4.96
red,button,news,11,3,1,5,3,NA,3,4.96
red,flower,acad,24,3,3,4,3,NA,3.25,5
red,flower,fic,76,3,3,4,3,NA,3.25,5
red,flower,mag,112,3,3,4,3,NA,3.25,5
red,flower,news,49,3,3,4,3,NA,3.25,5
silky,ear,fic,20,2,1,1,3,NA,1.75,5
wet,house,fic,131,3,2,2,2,NA,2.25,5
wet,house,mag,27,3,2,2,2,NA,2.25,5
wet,house,spok,15,3,2,2,2,NA,2.25,5
wet,shirt,fic,98,4,3,2,2,NA,2.75,4.94
wet,shirt,mag,11,4,3,2,2,NA,2.75,4.94
yellow,collar,fic,13,4,3,3,3,NA,3.25,4.64
yellow,flower,acad,25,3,3,3,NA,NA,3,5
yellow,flower,fic,197,3,3,3,NA,NA,3,5
yellow,flower,mag,295,3,3,3,NA,NA,3,5
yellow,flower,news,63,3,3,3,NA,NA,3,5
yellow,flower,spok,15,3,3,3,NA,NA,3,5
yellow,hat,fic,108,6,4,3,3,NA,4,4.88
yellow,hat,mag,21,6,4,3,3,NA,4,4.88
yellow,hat,news,22,6,4,3,3,NA,4,4.88
yellow,hat,spok,11,6,4,3,3,NA,4,4.88
yellow,leaf,acad,18,5,4,3,6,NA,4.5,5
yellow,leaf,fic,133,5,4,3,6,NA,4.5,5
yellow,leaf,mag,145,5,4,3,6,NA,4.5,5
yellow,leaf,news,42,5,4,3,6,NA,4.5,5
blond,hair,acad,38,4,3,4,3,NA,3.5,4.97
blond,hair,fic,1658,4,3,4,3,NA,3.5,4.97
blond,hair,mag,285,4,3,4,3,NA,3.5,4.97
blond,hair,news,214,4,3,4,3,NA,3.5,4.97
blond,hair,spok,104,4,3,4,3,NA,3.5,4.97
blonde,lady,fic,NA,5,4,4,3,NA,4,4.33
bright,engine,fic,21,3,2,4,3,NA,3,4.86
bright,engine,mag,NA,3,2,4,3,NA,3,4.86
brown,dog,fic,93,6,3,5,4,NA,4.5,4.85
brown,dog,mag,21,6,3,5,4,NA,4.5,4.85
brown,dog,news,22,6,3,5,4,NA,4.5,4.85
brown,dog,spok,22,6,3,5,4,NA,4.5,4.85
cloudy,window,fic,25,6,3,3,2,NA,3.5,4.86
dead,battery,acad,10,5,3,3,4,NA,3.75,4.67
dead,battery,fic,57,5,3,3,4,NA,3.75,4.67
dead,battery,mag,88,5,3,3,4,NA,3.75,4.67
dead,battery,news,20,5,3,3,4,NA,3.75,4.67
dead,battery,spok,15,5,3,3,4,NA,3.75,4.67
dirty,bottom,fic,18,3,3,4,3,NA,3.25,4.25
dirty,bottom,mag,19,3,3,4,3,NA,3.25,4.25
dirty,guy,fic,37,3,3,3,3,2,2.8,4.68
dirty,guy,mag,31,3,3,3,3,2,2.8,4.68
dirty,guy,news,16,3,3,3,3,2,2.8,4.68
dirty,guy,spok,26,3,3,3,3,2,2.8,4.68
dirty,hamper,fic,12,6,3,6,NA,NA,5,4.21
dirty,spoon,fic,14,4,5,4,4,NA,4.25,4.96
dirty,tractor,fic,11,6,5,5,4,NA,5,5
downtown,street,acad,27,3,5,4,4,NA,4,4.75
downtown,street,fic,98,3,5,4,4,NA,4,4.75
downtown,street,mag,105,3,5,4,4,NA,4,4.75
downtown,street,news,265,3,5,4,4,NA,4,4.75
downtown,street,spok,47,3,5,4,4,NA,4,4.75
fat,guy,fic,25,3,3,3,3,NA,3,4.68
furry,dog,fic,23,6,4,6,3,NA,4.75,4.85
furry,dog,mag,14,6,4,6,3,NA,4.75,4.85
green,bean,acad,33,7,3,3,3,NA,4,5
green,bean,fic,100,7,3,3,3,NA,4,5
green,bean,mag,681,7,3,3,3,NA,4,5
green,bean,news,411,7,3,3,3,NA,4,5
green,bean,spok,37,7,3,3,3,NA,4,5
green,picture,fic,38,4,3,2,NA,NA,3,4.52
green,picture,mag,14,4,3,2,NA,NA,3,4.52
green,picture,news,21,4,3,2,NA,NA,3,4.52
green,shoe,fic,36,3,2,1,2,NA,2,4.97
green,shoe,mag,17,3,2,1,2,NA,2,4.97
green,shoe,news,18,3,2,1,2,NA,2,4.97
green,train,fic,11,2,3,2,3,NA,2.5,4.79
green,train,mag,NA,2,3,2,3,NA,2.5,4.79
green,train,news,NA,2,3,2,3,NA,2.5,4.79
hot,bacon,fic,14,5,6,5,6,NA,5.5,4.9
hot,bacon,mag,70,5,6,5,6,NA,5.5,4.9
hot,bacon,news,40,5,6,5,6,NA,5.5,4.9
hot,candle,fic,25,7,6,4,7,NA,6,4.86
hot,candle,mag,16,7,6,4,7,NA,6,4.86
hot,car,acad,22,3,3,3,5,NA,3.5,4.89
hot,car,fic,266,3,3,3,5,NA,3.5,4.89
hot,car,mag,167,3,3,3,5,NA,3.5,4.89
hot,car,news,156,3,3,3,5,NA,3.5,4.89
hot,car,spok,73,3,3,3,5,NA,3.5,4.89
hot,chicken,fic,57,3,6,6,3,NA,4.5,4.8
hot,chicken,mag,334,3,6,6,3,NA,4.5,4.8
hot,chicken,news,214,3,6,6,3,NA,4.5,4.8
hot,chicken,spok,18,3,6,6,3,NA,4.5,4.8
hot,circle,fic,36,1,3,2,NA,NA,2,4.44
hot,circle,mag,23,1,3,2,NA,NA,2,4.44
hot,circle,news,17,1,3,2,NA,NA,2,4.44
hot,ear,fic,102,2,2,1,2,NA,1.75,5
hot,ear,mag,48,2,2,1,2,NA,1.75,5
hot,egg,acad,13,4,3,5,5,NA,4.25,4.97
hot,egg,fic,68,4,3,5,5,NA,4.25,4.97
hot,egg,mag,226,4,3,5,5,NA,4.25,4.97
hot,egg,news,138,4,3,5,5,NA,4.25,4.97
hot,egg,spok,15,4,3,5,5,NA,4.25,4.97
hot,foot,acad,21,2,3,2,2,NA,2.25,4.9
hot,foot,fic,224,2,3,2,2,NA,2.25,4.9
hot,foot,mag,209,2,3,2,2,NA,2.25,4.9
hot,foot,news,70,2,3,2,2,NA,2.25,4.9
hot,foot,spok,30,2,3,2,2,NA,2.25,4.9
hot,marshmallow,fic,11,3,6,3,3,NA,3.75,4.85
hot,muffin,mag,20,3,3,5,3,NA,3.5,4.78
hot,muffin,news,12,3,3,5,3,NA,3.5,4.78
hot,nose,fic,83,2,1,1,3,NA,1.75,4.89
hot,nose,mag,30,2,1,1,3,NA,1.75,4.89
hot,nose,news,15,2,1,1,3,NA,1.75,4.89
hot,roll,fic,42,3,5,3,3,NA,3.5,4.16
hot,roll,mag,39,3,5,3,3,NA,3.5,4.16
hot,roll,news,42,3,5,3,3,NA,3.5,4.16
hot,roll,spok,12,3,5,3,3,NA,3.5,4.16
hot,strawberry,mag,19,1,1,2,2,NA,1.5,5
hot,strawberry,news,15,1,1,2,2,NA,1.5,5
hot,sun,acad,74,7,7,7,7,NA,7,4.83
hot,sun,fic,581,7,7,7,7,NA,7,4.83
hot,sun,mag,319,7,7,7,7,NA,7,4.83
hot,sun,news,127,7,7,7,7,NA,7,4.83
hot,sun,spok,73,7,7,7,7,NA,7,4.83
hot,telephone,fic,12,2,2,1,2,NA,1.75,4.96
hot,telephone,news,16,2,2,1,2,NA,1.75,4.96
hot,telephone,spok,12,2,2,1,2,NA,1.75,4.96
hot,toast,fic,15,3,6,4,5,NA,4.5,4.93
hot,toast,mag,14,3,6,4,5,NA,4.5,4.93
hot,window,fic,241,NA,NA,NA,NA,NA,NA,NA
hot,window,mag,74,NA,NA,NA,NA,NA,NA,NA
hot,window,news,40,NA,NA,NA,NA,NA,NA,NA
hot,window,spok,22,NA,NA,NA,NA,NA,NA,NA
hot,wood,fic,90,3,3,1,3,NA,2.5,4.85
hot,wood,mag,83,3,3,1,3,NA,2.5,4.85
hot,wood,news,21,3,3,1,3,NA,2.5,4.85
orange,bowl,mag,13,3,3,3,3,NA,3,4.87
orange,bowl,news,27,3,3,3,3,NA,3,4.87
orange,pepper,mag,43,1,3,3,2,NA,2.25,4.59
pink,bunny,fic,37,2,1,3,1,NA,1.75,4.97
pink,color,acad,23,2,3,2,3,NA,2.5,4.08
pink,color,fic,104,2,3,2,3,NA,2.5,4.08
pink,color,mag,209,2,3,2,3,NA,2.5,4.08
pink,color,news,66,2,3,2,3,NA,2.5,4.08
pink,color,spok,29,2,3,2,3,NA,2.5,4.08
pink,door,fic,99,2,2,3,2,NA,2.25,4.81
pink,door,mag,33,2,2,3,2,NA,2.25,4.81
pink,door,news,17,2,2,3,2,NA,2.25,4.81
pink,gown,fic,39,5,4,3,NA,NA,4,4.61
pink,gown,mag,10,5,4,3,NA,NA,4,4.61
pink,gown,news,16,5,4,3,NA,NA,4,4.61
pink,head,fic,169,6,3,1,2,NA,3,4.75
pink,head,mag,36,6,3,1,2,NA,3,4.75
pink,head,news,14,6,3,1,2,NA,3,4.75
pink,pillow,fic,30,5,3,3,3,NA,3.5,5
pink,pillow,mag,20,5,3,3,3,NA,3.5,5
pink,pillow,news,10,5,3,3,3,NA,3.5,5
pink,rabbit,fic,16,2,3,1,NA,NA,2,4.93
pink,shirt,fic,118,2,3,3,3,NA,2.75,4.94
pink,shirt,mag,62,2,3,3,3,NA,2.75,4.94
pink,shirt,news,37,2,3,3,3,NA,2.75,4.94
pink,shirt,spok,20,2,3,3,3,NA,2.75,4.94
purple,coat,fic,19,3,3,3,2,NA,2.75,4.97
purple,cow,mag,10,1,1,1,1,NA,1,4.96
purple,dinosaur,news,16,1,1,2,NA,NA,1.3333333333333333,4.87
purple,glass,fic,41,NA,NA,NA,NA,NA,NA,NA
purple,glass,mag,11,NA,NA,NA,NA,NA,NA,NA
purple,glass,news,10,NA,NA,NA,NA,NA,NA,NA
purple,head,fic,67,1,1,1,1,NA,1,4.75
purple,head,mag,19,1,1,1,1,NA,1,4.75
purple,sand,fic,13,1,2,2,4,NA,2.25,5
red,boat,acad,23,3,3,3,3,NA,3,4.93
red,boat,fic,33,3,3,3,3,NA,3,4.93
red,boat,mag,24,3,3,3,3,NA,3,4.93
red,boat,news,15,3,3,3,3,NA,3,4.93
red,bow,fic,51,3,3,5,5,NA,4,4.61
red,bow,news,18,3,3,5,5,NA,4,4.61
red,bow,spok,12,3,3,5,5,NA,4,4.61
red,carpet,acad,10,NA,NA,NA,NA,NA,NA,NA
red,carpet,fic,60,NA,NA,NA,NA,NA,NA,NA
red,carpet,mag,65,NA,NA,NA,NA,NA,NA,NA
red,carpet,news,57,NA,NA,NA,NA,NA,NA,NA
red,carpet,spok,75,NA,NA,NA,NA,NA,NA,NA
red,coat,acad,11,2,2,3,3,NA,2.5,4.97
red,coat,fic,79,2,2,3,3,NA,2.5,4.97
red,coat,mag,42,2,2,3,3,NA,2.5,4.97
red,coat,news,25,2,2,3,3,NA,2.5,4.97
red,collar,fic,52,3,4,5,3,NA,3.75,4.64
red,dot,acad,12,3,4,5,NA,NA,4,4.12
red,dot,fic,69,3,4,5,NA,NA,4,4.12
red,dot,mag,63,3,4,5,NA,NA,4,4.12
red,dot,news,18,3,4,5,NA,NA,4,4.12
red,dot,spok,19,3,4,5,NA,NA,4,4.12
red,drawer,fic,22,3,3,2,2,NA,2.5,4.67
red,gown,fic,27,1,3,3,3,NA,2.5,4.61
red,gown,mag,14,1,3,3,3,NA,2.5,4.61
red,grape,acad,16,NA,NA,NA,NA,NA,NA,NA
red,grape,fic,14,NA,NA,NA,NA,NA,NA,NA
red,grape,mag,146,NA,NA,NA,NA,NA,NA,NA
red,grape,news,46,NA,NA,NA,NA,NA,NA,NA
red,grape,spok,14,NA,NA,NA,NA,NA,NA,NA
red,hole,fic,37,4,1,NA,NA,NA,2.5,4.81
red,hole,mag,25,4,1,NA,NA,NA,2.5,4.81
red,hole,news,15,4,1,NA,NA,NA,2.5,4.81
red,neck,fic,98,3,3,4,3,NA,3.25,5
red,neck,mag,23,3,3,4,3,NA,3.25,5
red,neck,news,13,3,3,4,3,NA,3.25,5
red,neck,spok,10,3,3,4,3,NA,3.25,5
red,pepper,acad,12,4,4,5,NA,NA,4.333333333333333,4.59
red,pepper,fic,62,4,4,5,NA,NA,4.333333333333333,4.59
red,pepper,mag,1537,4,4,5,NA,NA,4.333333333333333,4.59
red,pepper,news,710,4,4,5,NA,NA,4.333333333333333,4.59
red,pepper,spok,89,4,4,5,NA,NA,4.333333333333333,4.59
red,picture,acad,28,2,3,3,2,NA,2.5,4.52
red,picture,fic,65,2,3,3,2,NA,2.5,4.52
red,picture,mag,29,2,3,3,2,NA,2.5,4.52
red,picture,news,27,2,3,3,2,NA,2.5,4.52
red,picture,spok,19,2,3,3,2,NA,2.5,4.52
red,ribbon,fic,83,5,4,5,5,5,4.8,4.89
red,ribbon,mag,53,5,4,5,5,5,4.8,4.89
red,ribbon,news,49,5,4,5,5,5,4.8,4.89
red,ribbon,spok,13,5,4,5,5,5,4.8,4.89
red,shoe,acad,13,3,5,3,5,NA,4,4.97
red,shoe,fic,138,3,5,3,5,NA,4,4.97
red,shoe,mag,71,3,5,3,5,NA,4,4.97
red,shoe,news,40,3,5,3,5,NA,4,4.97
red,shoe,spok,19,3,5,3,5,NA,4,4.97
red,top,fic,68,3,3,3,3,NA,3,3.93
red,top,mag,53,3,3,3,3,NA,3,3.93
red,top,news,26,3,3,3,3,NA,3,3.93
red,wood,fic,50,3,2,3,3,NA,2.75,4.85
red,wood,mag,47,3,2,3,3,NA,2.75,4.85
red,wood,news,20,3,2,3,3,NA,2.75,4.85
round,moon,fic,26,5,7,6,NA,NA,6,4.9
rubber,glove,fic,16,4,3,6,5,NA,4.5,4.97
salty,ocean,fic,36,7,5,7,7,NA,6.5,4.86
salty,ocean,mag,26,7,5,7,7,NA,6.5,4.86
salty,wave,fic,22,6,1,5,4,NA,4,4.55
sweet,cocoa,mag,11,3,2,3,NA,NA,2.6666666666666665,4.89
sweet,girl,fic,235,4,3,3,3,NA,3.25,4.85
sweet,girl,mag,76,4,3,3,3,NA,3.25,4.85
sweet,girl,news,50,4,3,3,3,NA,3.25,4.85
sweet,girl,spok,57,4,3,3,3,NA,3.25,4.85
sweet,marshmallow,mag,18,6,6,6,7,NA,6.25,4.85
sweet,potato,acad,112,2,3,3,3,NA,2.75,4.85
sweet,potato,fic,198,2,3,3,3,NA,2.75,4.85
sweet,potato,mag,1532,2,3,3,3,NA,2.75,4.85
sweet,potato,news,722,2,3,3,3,NA,2.75,4.85
sweet,potato,spok,173,2,3,3,3,NA,2.75,4.85
sweet,sweet,news,NA,NA,NA,NA,NA,NA,NA,NA
wet,ball,fic,21,3,3,3,3,NA,3,5
wet,ball,mag,31,3,3,3,3,NA,3,5
wet,ball,news,13,3,3,3,3,NA,3,5
wet,book,fic,34,2,2,2,2,NA,2,4.9
wet,pillow,fic,23,1,2,3,2,NA,2,5
wooden,horse,acad,11,2,2,4,NA,NA,2.6666666666666665,5
wooden,horse,fic,78,2,2,4,NA,NA,2.6666666666666665,5
wooden,horse,mag,36,2,2,4,NA,NA,2.6666666666666665,5
wooden,horse,news,26,2,2,4,NA,NA,2.6666666666666665,5
yellow,bee,fic,15,6,6,5,5,NA,5.5,4.88
yellow,bee,mag,17,6,6,5,5,NA,5.5,4.88
yellow,cap,fic,41,3,3,3,3,NA,3,4.59
yellow,cap,mag,17,3,3,3,3,NA,3,4.59
yellow,cap,news,17,3,3,3,3,NA,3,4.59
yellow,couch,fic,25,2,3,3,3,NA,2.75,4.71
yellow,dog,acad,20,NA,NA,NA,NA,NA,NA,NA
yellow,dog,fic,120,NA,NA,NA,NA,NA,NA,NA
yellow,dog,mag,42,NA,NA,NA,NA,NA,NA,NA
yellow,dog,news,40,NA,NA,NA,NA,NA,NA,NA
yellow,dog,spok,24,NA,NA,NA,NA,NA,NA,NA
yellow,floor,acad,12,3,2,2,2,NA,2.25,4.8
yellow,floor,fic,144,3,2,2,2,NA,2.25,4.8
yellow,floor,mag,27,3,2,2,2,NA,2.25,4.8
yellow,floor,news,28,3,2,2,2,NA,2.25,4.8
yellow,line,acad,27,3,5,3,3,NA,3.5,4.5
yellow,line,fic,180,3,5,3,3,NA,3.5,4.5
yellow,line,mag,72,3,5,3,3,NA,3.5,4.5
yellow,line,news,56,3,5,3,3,NA,3.5,4.5
yellow,line,spok,33,3,5,3,3,NA,3.5,4.5
yellow,phone,fic,18,NA,NA,NA,NA,NA,NA,NA
yellow,phone,mag,11,NA,NA,NA,NA,NA,NA,NA
yellow,phone,news,21,NA,NA,NA,NA,NA,NA,NA
yellow,phone,spok,14,NA,NA,NA,NA,NA,NA,NA
yellow,sand,acad,10,NA,NA,NA,NA,NA,NA,NA
yellow,sand,fic,43,NA,NA,NA,NA,NA,NA,NA
yellow,sand,mag,18,NA,NA,NA,NA,NA,NA,NA
yellow,water,acad,24,3,2,3,3,NA,2.75,5
yellow,water,fic,177,3,2,3,3,NA,2.75,5
yellow,water,mag,181,3,2,3,3,NA,2.75,5
yellow,water,news,52,3,2,3,3,NA,2.75,5
