adj,noun,type,n,x1,x2,x3,x4,x5,mean_typ,noun_conc
yellow,cow,fic,13,1,1,1,1,NA,1,4.96
dirty,dish,fic,148,4,4,4,4,NA,4,4.9
dirty,dish,mag,53,4,4,4,4,NA,4,4.9
dirty,dish,news,38,4,4,4,4,NA,4,4.9
dirty,dish,spok,16,4,4,4,4,NA,4,4.9
green,button,fic,22,3,2,2,NA,NA,2.3333333333333335,4.96
green,button,mag,11,3,2,2,NA,NA,2.3333333333333335,4.96
pink,ball,fic,37,3,3,1,3,NA,2.5,5
pink,ball,mag,21,3,3,1,3,NA,2.5,5
pink,ball,news,18,3,3,1,3,NA,2.5,5
pink,pig,fic,28,5,6,5,6,NA,5.5,5
pink,pig,mag,14,5,6,5,6,NA,5.5,5
pink,pig,news,18,5,6,5,6,NA,5.5,5
pink,pig,spok,23,5,6,5,6,NA,5.5,5
red,balloon,fic,30,3,3,4,3,NA,3.25,4.92
red,balloon,mag,14,3,3,4,3,NA,3.25,4.92
red,balloon,news,25,3,3,4,3,NA,3.25,4.92
red,balloon,spok,12,3,3,4,3,NA,3.25,4.92
red,circle,acad,21,3,3,2,3,NA,2.75,4.44
red,circle,fic,66,3,3,2,3,NA,2.75,4.44
red,circle,mag,30,3,3,2,3,NA,2.75,4.44
red,circle,news,19,3,3,2,3,NA,2.75,4.44
rocky,rock,acad,16,5,7,6,6,NA,6,4.91
rocky,rock,fic,28,5,7,6,6,NA,6,4.91
rocky,rock,mag,40,5,7,6,6,NA,6,4.91
yellow,triangle,acad,12,3,4,2,2,NA,2.75,4.52
yellow,truck,fic,70,3,2,2,3,NA,2.5,4.84
yellow,truck,mag,17,3,2,2,3,NA,2.5,4.84
yellow,truck,news,25,3,2,2,3,NA,2.5,4.84
brown,horse,fic,59,4,5,5,5,NA,4.75,5
brown,horse,mag,15,4,5,5,5,NA,4.75,5
dirty,diaper,fic,24,4,6,5,3,NA,4.5,4.82
dirty,diaper,mag,28,4,6,5,3,NA,4.5,4.82
dirty,finger,fic,79,3,3,4,NA,NA,3.3333333333333335,5
furry,arm,fic,17,6,3,5,4,NA,4.5,4.96
furry,cat,fic,20,6,3,5,6,NA,5,4.86
green,box,fic,55,3,3,3,2,NA,2.75,4.9
green,box,mag,34,3,3,3,2,NA,2.75,4.9
green,box,news,18,3,3,3,2,NA,2.75,4.9
green,cup,fic,32,6,4,3,2,NA,3.75,5
green,cup,mag,1040,6,4,3,2,NA,3.75,5
green,cup,news,161,6,4,3,2,NA,3.75,5
green,field,acad,30,6,6,6,3,NA,5.25,4.26
green,field,fic,96,6,6,6,3,NA,5.25,4.26
green,field,mag,71,6,6,6,3,NA,5.25,4.26
green,field,news,75,6,6,6,3,NA,5.25,4.26
green,field,spok,26,6,6,6,3,NA,5.25,4.26
hot,cup,acad,21,3,3,3,3,NA,3,5
hot,cup,fic,248,3,3,3,3,NA,3,5
hot,cup,mag,1077,3,3,3,3,NA,3,5
hot,cup,news,284,3,3,3,3,NA,3,5
hot,cup,spok,41,3,3,3,3,NA,3,5
hot,water,acad,326,6,5,5,4,NA,5,5
hot,water,fic,1164,6,5,5,4,NA,5,5
hot,water,mag,1833,6,5,5,4,NA,5,5
hot,water,news,819,6,5,5,4,NA,5,5
hot,water,spok,407,6,5,5,4,NA,5,5
pink,shoe,fic,82,2,2,3,3,NA,2.5,4.97
pink,shoe,mag,23,2,2,3,3,NA,2.5,4.97
pink,shoe,news,18,2,2,3,3,NA,2.5,4.97
purple,ball,fic,19,2,3,3,3,NA,2.75,5
red,clock,fic,19,3,2,3,2,NA,2.5,5
red,skin,acad,17,2,3,3,2,NA,2.5,4.79
red,skin,fic,136,2,3,3,2,NA,2.5,4.79
red,skin,mag,114,2,3,3,2,NA,2.5,4.79
red,skin,news,30,2,3,3,2,NA,2.5,4.79
red,skin,spok,13,2,3,3,2,NA,2.5,4.79
red,star,acad,63,2,3,3,3,NA,2.75,4.69
red,star,fic,115,2,3,3,3,NA,2.75,4.69
red,star,mag,236,2,3,3,3,NA,2.75,4.69
red,star,news,94,2,3,3,3,NA,2.75,4.69
red,star,spok,21,2,3,3,3,NA,2.75,4.69
red,wheel,fic,23,3,3,3,3,NA,3,4.86
red,wheel,mag,20,3,3,3,3,NA,3,4.86
red,wheel,news,12,3,3,3,3,NA,3,4.86
sweet,baby,fic,119,3,5,3,4,NA,3.75,5
sweet,baby,mag,111,3,5,3,4,NA,3.75,5
sweet,baby,news,55,3,5,3,4,NA,3.75,5
sweet,baby,spok,47,3,5,3,4,NA,3.75,5
yellow,ball,fic,72,3,3,3,NA,NA,3,5
yellow,ball,mag,39,3,3,3,NA,NA,3,5
yellow,ball,news,36,3,3,3,NA,NA,3,5
yellow,banana,fic,16,5,5,7,6,NA,5.75,5
yellow,banana,mag,26,5,5,7,6,NA,5.75,5
yellow,block,fic,36,3,2,2,4,NA,2.75,4.48
yellow,block,mag,18,3,2,2,4,NA,2.75,4.48
yellow,bus,acad,10,3,6,5,4,NA,4.5,4.9
yellow,bus,fic,93,3,6,5,4,NA,4.5,4.9
yellow,bus,mag,26,3,6,5,4,NA,4.5,4.9
yellow,bus,news,39,3,6,5,4,NA,4.5,4.9
yellow,bus,spok,22,3,6,5,4,NA,4.5,4.9
yellow,cup,fic,19,3,3,3,3,NA,3,5
yellow,cup,mag,723,3,3,3,3,NA,3,5
yellow,cup,news,135,3,3,3,3,NA,3,5
yellow,school,acad,19,2,3,2,3,NA,2.5,4.79
yellow,school,fic,88,2,3,2,3,NA,2.5,4.79
yellow,school,mag,48,2,3,2,3,NA,2.5,4.79
yellow,school,news,68,2,3,2,3,NA,2.5,4.79
yellow,school,spok,16,2,3,2,3,NA,2.5,4.79
yellow,star,acad,28,5,3,3,6,NA,4.25,4.69
yellow,star,fic,79,5,3,3,6,NA,4.25,4.69
yellow,star,mag,84,5,3,3,6,NA,4.25,4.69
yellow,star,news,25,5,3,3,6,NA,4.25,4.69
back,door,fic,116,3,4,3,3,NA,3.25,4.81
back,door,mag,22,3,4,3,3,NA,3.25,4.81
back,door,news,32,3,4,3,3,NA,3.25,4.81
back,door,spok,17,3,4,3,3,NA,3.25,4.81
