adj,noun_orig,noun,mass,adj_article,noun_article,article
whisky,ginger,ginger,TRUE,,NA,
library,books,book,FALSE,a,NA,a
glass,houses,house,FALSE,a,a,a
tonic,water,water,TRUE,,NA,
cod,oil,oil,TRUE,,an,
plum,pudding,pudding,TRUE,,NA,
green,mats,mat,FALSE,a,NA,a
burnt,rubber,rubber,TRUE,,NA,
bottom,dollar,dollar,FALSE,a,NA,a
hot,room,room,FALSE,a,NA,a
jaw,jaw,jaw,FALSE,a,NA,a
slave,driver,driver,FALSE,a,NA,a
red,lights,light,FALSE,a,NA,a
square,face,face,FALSE,a,NA,a
rusty,nails,nail,FALSE,a,NA,a
pattern,holes,hole,FALSE,a,a,a
frozen,shoulder,shoulder,FALSE,a,NA,a
gold,rings,ring,FALSE,a,NA,a
quarter,motor,motor,FALSE,a,NA,a
cupboard,door,door,FALSE,a,NA,a
dark,suit,suit,FALSE,a,NA,a
round,case,case,FALSE,a,NA,a
wet,snow,snow,TRUE,,NA,
top,coat,coat,FALSE,a,NA,a
round,corners,corner,FALSE,a,NA,a
broken,arm,arm,FALSE,a,NA,an
icy,roads,road,FALSE,an,NA,a
cooker,hood,hood,FALSE,a,a,a
oat,meal,meal,FALSE,an,NA,a
meal,cakes,cake,FALSE,a,NA,a
oat,porridge,porridge,TRUE,,NA,
sky,movies,movie,FALSE,a,NA,a
hot,pot,pot,FALSE,a,NA,a
male,lead,lead,FALSE,a,NA,a
top,slabs,slab,FALSE,a,NA,a
freezing,roads,road,FALSE,a,NA,a
thick,piece,piece,FALSE,a,NA,a
thick,clip,clip,FALSE,a,NA,a
peg,stones,stone,FALSE,a,NA,a
yellow,plastic,plastic,TRUE,,NA,
yellow,metals,metal,TRUE,,NA,
plastic,metal,metal,TRUE,,NA,
dead,dad,dad,FALSE,a,NA,a
apple,tree,tree,FALSE,an,NA,a
fork,lift,lift,FALSE,a,NA,a
back,ball,ball,FALSE,a,NA,a
whisky,drop,drop,FALSE,a,NA,a
tin,potatoes,potato,FALSE,a,NA,a
hot,whisky,whisky,TRUE,,NA,
wheelie,bin,bin,FALSE,a,NA,a
green,ones,one,FALSE,a,a,a
dirty,foxes,fox,FALSE,a,NA,a
orange,peel,peel,FALSE,an,NA,a
record,case,case,FALSE,a,NA,a
brick,walls,wall,FALSE,a,NA,a
brown,bag,bag,FALSE,a,NA,a
bright,spot,spot,FALSE,a,NA,a
brown,sugar,sugar,TRUE,,NA,
navy,ones,one,FALSE,a,a,a
hot,towel,towel,FALSE,a,NA,a
back,slums,slum,FALSE,a,NA,a
farm,house,house,FALSE,a,a,a
blind,people,person,FALSE,a,NA,a
dark,chap,chap,FALSE,a,NA,a
green,man,man,FALSE,a,NA,a
fish,fingers,finger,FALSE,a,NA,a
mummy,shout,shout,FALSE,a,NA,a
dark,lounge,lounge,FALSE,a,NA,a
cut,glass,glass,FALSE,a,NA,a
dirty,movies,movie,FALSE,a,NA,a
crusty,loaf,loaf,FALSE,a,NA,a
dirty,player,player,FALSE,a,NA,a
rugby,players,player,FALSE,a,NA,a
red,shoots,shoot,FALSE,a,NA,a
pink,flowers,flower,FALSE,a,NA,a
garden,furniture,furniture,TRUE,,NA,
stroke,months,month,FALSE,a,NA,a
key,cellar,cellar,FALSE,a,NA,a
pound,coins,coin,FALSE,a,NA,a
blooming,girl,girl,FALSE,a,NA,a
outside,toilet,toilet,FALSE,an,NA,a
flat,fish,fish,FALSE,a,NA,a
glass,washer,washer,FALSE,a,NA,a
dart,board,board,FALSE,a,NA,a
garden,sign,sign,FALSE,a,NA,a
bright,beer,beer,FALSE,a,NA,a
plastic,cupboard,cupboard,FALSE,a,NA,a
wet,slab,slab,FALSE,a,NA,a
wooden,platter,platter,FALSE,a,NA,a
ferry,back,back,FALSE,a,NA,a
till,rolls,roll,FALSE,a,NA,a
secretary,treasurer,treasurer,FALSE,a,NA,a
green,bags,bag,FALSE,a,NA,a
bottom,office,office,FALSE,a,an,an
till,roll,roll,FALSE,a,NA,a
top,bar,bar,FALSE,a,NA,a
red,white,white,TRUE,,NA,
gold,dust,dust,TRUE,,NA,
teddy,bears,bear,FALSE,a,NA,a
flat,floors,floor,FALSE,a,NA,a
fridge,doors,door,FALSE,a,NA,a
eleven,gallon,gallon,FALSE,an,NA,a
push,people,person,FALSE,a,NA,a
flat,floored,floor,FALSE,a,NA,a
wooden,floor,floor,FALSE,a,NA,a
round,carpet,carpet,FALSE,a,NA,a
bottom,corner,corner,FALSE,a,NA,a
pull,pints,pint,FALSE,a,NA,a
plastic,glasses,glasses,TRUE,,NA,
brown,ale,ale,FALSE,a,NA,an
till,man,man,FALSE,a,NA,a
top,model,model,FALSE,a,NA,a
joint,ones,one,FALSE,a,a,a
top,shelf,shelf,FALSE,a,NA,a
till,desk,desk,FALSE,a,NA,a
top,grill,grill,FALSE,a,NA,a
bottom,oven,oven,FALSE,a,an,an
top,oven,oven,FALSE,a,an,an
red,blood,blood,TRUE,,NA,
baby,alarms,alarm,FALSE,a,NA,an
fridge,magnets,magnet,FALSE,a,NA,a
blond,hair,hair,TRUE,,a,
dark,pet,pet,FALSE,a,NA,a
bin,girls,girl,FALSE,a,NA,a
orange,packet,packet,FALSE,an,NA,a
dark,brown,brown,TRUE,,NA,
hot,oil,oil,TRUE,,an,
ear,phones,phone,FALSE,an,NA,a
dead,obituary,obituary,FALSE,a,an,an
obituary,obituary,obituary,FALSE,an,an,an
gold,necklaces,necklace,FALSE,a,NA,a
snack,bars,bar,FALSE,a,NA,a
hot,chocolate,chocolate,TRUE,,NA,
green,grass,grass,TRUE,,NA,
yellow,fat,fat,TRUE,,NA,
vitamin,pills,pill,FALSE,a,NA,a
fat,lady,lady,FALSE,a,NA,a
roast,potatoes,potato,FALSE,a,NA,a
prawn,cocktail,cocktail,FALSE,a,NA,a
prawn,cocktails,cocktail,FALSE,a,NA,a
saucepan,lid,lid,FALSE,a,NA,a
onion,stuffing,stuffing,TRUE,,NA,
red,ones,one,FALSE,a,a,a
plastic,container,container,FALSE,a,NA,a
manual,alloy,alloy,FALSE,a,NA,an
hill,top,top,FALSE,a,NA,a
outside,lane,lane,FALSE,an,NA,a
dirty,swine,swine,FALSE,a,NA,a
fat,fingers,finger,FALSE,a,NA,a
toy,boy,boy,FALSE,a,NA,a
secretary,table,table,FALSE,a,NA,a
gold,ring,ring,FALSE,a,NA,a
mauve,ring,ring,FALSE,a,NA,a
top,hand,hand,FALSE,a,a,a
